Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
4/7/13,53,PM2.5,Watson Lane,21-111-0051,AQS,.,48,21,18,53,.
4/8/13,54,PM2.5,Watson Lane,21-111-0051,AQS,.,44,23,25,54,.
4/9/13,53,PM2.5,Watson Lane,21-111-0051,AQS,.,41,27,30,53,.
4/10/13,54,PM2.5,Watson Lane,21-111-0051,AQS,.,37,40,21,54,.
4/11/13,43,PM2.5,Watson Lane,21-111-0051,AQS,.,32,23,11,43,.
4/12/13,54,PM2.5,Watson Lane,21-111-0051,AQS,.,44,6,8,54,.
4/13/13,49,PM2.5,Watson Lane,21-111-0051,AQS,.,44,6,9,49,.
4/14/13,56,PM2.5,Watson Lane,21-111-0051,AQS,.,47,17,15,56,.
4/15/13,46,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,.,46,33,13,41,.
4/16/13,60,PM2.5,Watson Lane,21-111-0051,AQS,.,36,9,20,60,.
4/17/13,46,PM2.5,Watson Lane,21-111-0051,AQS,.,31,4,11,46,.
4/18/13,52,PM2.5,Watson Lane,21-111-0051,AQS,.,46,19,21,52,.
4/19/13,33,Ozone,BUCKNER,21-185-0004,AQS,.,33,13,10,32,.
4/20/13,45,Ozone,Bates,21-111-0027,AQS,.,45,6,10,43,.
4/21/13,50,Ozone,Bates,21-111-0027,AQS,.,50,7,10,45,.
4/22/13,58,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,.,58,21,19,57,.
4/23/13,56,PM2.5,Watson Lane,21-111-0051,AQS,.,46,20,25,56,.
4/24/13,47,PM2.5,Watson Lane,21-111-0051,AQS,.,35,10,13,47,.
4/25/13,50,PM2.5,Watson Lane,21-111-0051,AQS,.,49,10,12,50,.
4/26/13,54,Ozone,Bates,21-111-0027,AQS,.,54,10,14,42,.
4/27/13,54,PM2.5,Watson Lane,21-111-0051,AQS,.,42,6,16,54,.
4/28/13,52,PM2.5,Watson Lane,21-111-0051,AQS,.,34,6,11,52,.
4/29/13,67,PM2.5,Watson Lane,21-111-0051,AQS,.,40,19,19,67,.
4/30/13,58,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,.,58,29,21,53,.
5/1/13,64,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,.,64,11,24,57,.
5/2/13,45,PM2.5,Watson Lane,21-111-0051,AQS,.,43,21,16,45,.
5/3/13,36,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,.,36,6,14,32,.
5/4/13,40,PM2.5,Watson Lane,21-111-0051,AQS,.,39,14,9,40,.
5/5/13,34,Ozone,BUCKNER,21-185-0004,AQS,.,34,4,5,27,.
5/6/13,35,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,.,35,6,8,25,.
5/7/13,44,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,.,44,9,11,29,.
5/8/13,41,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,.,41,9,18,32,.
5/9/13,52,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,.,50,33,22,52,.
5/10/13,49,PM2.5,CANNONS LANE,21-111-0067,AQS,.,32,20,15,49,.
5/11/13,42,PM2.5,CANNONS LANE,21-111-0067,AQS,.,36,4,12,42,.
