Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
7/20/13,66,PM2.5,Watson Lane,21-111-0051,AQS,.,49,9,18,66,.
7/21/13,80,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,80,36,18,62,.
7/22/13,43,PM2.5,Watson Lane,21-111-0051,AQS,.,39,9,12,43,.
7/23/13,88,PM2.5,Watson Lane,21-111-0051,AQS,.,51,7,25,88,.
7/24/13,35,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,.,35,1,12,33,.
7/25/13,61,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,6,61,9,16,53,.
7/26/13,77,Ozone,BUCKNER,21-185-0004,AQS,8,77,27,22,63,.
7/27/13,56,PM2.5,Watson Lane,21-111-0051,AQS,7,38,7,14,56,.
7/28/13,44,PM2.5,Watson Lane,21-111-0051,AQS,5,40,3,10,44,.
7/29/13,59,PM2.5,Watson Lane,21-111-0051,AQS,6,49,6,19,59,.
7/30/13,55,PM2.5,Southwick,21-111-0043,AQS,8,38,10,28,55,.
7/31/13,55,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,29,11,19,55,.
8/1/13,54,PM2.5,CANNONS LANE,21-111-0067,AQS,7,42,3,16,54,.
8/2/13,62,PM2.5,Watson Lane,21-111-0051,AQS,8,46,33,24,62,.
8/3/13,63,PM2.5,Watson Lane,21-111-0051,AQS,6,48,4,20,63,.
8/4/13,41,PM2.5,Watson Lane,21-111-0051,AQS,6,37,4,10,41,.
8/5/13,51,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,51,49,18,43,.
8/6/13,63,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,49,52,28,63,.
8/7/13,68,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,43,33,24,68,.
8/8/13,59,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,46,20,23,59,.
8/9/13,66,PM2.5,Watson Lane,21-111-0051,AQS,9,39,10,25,66,.
8/10/13,73,PM2.5,Watson Lane,21-111-0051,AQS,9,44,3,23,73,.
8/11/13,73,PM2.5,Watson Lane,21-111-0051,AQS,10,47,7,23,73,.
8/12/13,60,PM2.5,Watson Lane,21-111-0051,AQS,8,32,44,21,60,.
8/13/13,49,PM2.5,Watson Lane,21-111-0051,AQS,7,38,3,15,49,.
8/14/13,36,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,5,36,14,12,31,.
8/15/13,42,PM2.5,Southwick,21-111-0043,AQS,6,38,11,15,42,.
8/16/13,60,PM2.5,Southwick,21-111-0043,AQS,6,54,9,20,60,.
8/17/13,61,PM2.5,Watson Lane,21-111-0051,AQS,6,54,7,20,61,.
8/18/13,53,PM2.5,Watson Lane,21-111-0051,AQS,7,48,14,15,53,.
8/19/13,80,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,80,19,22,61,.
8/20/13,54,PM2.5,Southwick,21-111-0043,AQS,7,36,29,22,54,.
8/21/13,54,PM2.5,Watson Lane,21-111-0051,AQS,7,47,23,18,54,.
8/22/13,64,Ozone,Bates,21-111-0027,AQS,8,64,11,22,60,.
8/23/13,71,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,8,71,7,23,66,.
8/24/13,61,PM2.5,Watson Lane,21-111-0051,AQS,7,61,20,19,61,.
8/25/13,84,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,6,84,20,20,58,.
8/26/13,80,PM2.5,Watson Lane,21-111-0051,AQS,8,61,9,27,80,.
8/27/13,74,PM2.5,Watson Lane,21-111-0051,AQS,9,58,9,30,74,.
8/28/13,66,PM2.5,Watson Lane,21-111-0051,AQS,.,64,21,32,66,.
8/29/13,74,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,.,74,10,31,63,.
8/30/13,84,Ozone,Bates,21-111-0027,AQS,.,84,23,33,68,.
8/31/13,59,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,.,51,24,31,59,.
9/1/13,58,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,.,58,30,18,54,.
9/2/13,57,PM2.5,Watson Lane,21-111-0051,AQS,.,46,26,18,57,.
9/3/13,38,PM2.5,Watson Lane,21-111-0051,AQS,.,37,1,10,38,.
9/4/13,61,Ozone,Bates,21-111-0027,AQS,8,61,11,19,51,.
9/5/13,105,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,10,105,6,28,68,.
9/6/13,57,PM2.5,Watson Lane,21-111-0051,AQS,9,50,7,25,57,.
9/7/13,77,Ozone,BUCKNER,21-185-0004,AQS,10,77,19,25,67,.
9/8/13,77,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,11,77,23,27,73,.
9/9/13,90,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,10,90,36,33,77,.
9/10/13,84,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,8,84,13,30,79,.
9/11/13,76,PM2.5,Watson Lane,21-111-0051,AQS,9,67,7,28,76,.
9/12/13,56,PM2.5,Southwick,21-111-0043,AQS,8,40,10,18,56,.
9/13/13,31,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,6,31,13,15,28,.
9/14/13,37,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,7,37,10,10,31,.
9/15/13,58,PM2.5,Watson Lane,21-111-0051,AQS,7,44,10,17,58,.
9/16/13,54,PM2.5,Watson Lane,21-111-0051,AQS,8,37,10,19,54,.
9/17/13,49,PM2.5,Southwick,21-111-0043,AQS,6,44,6,19,49,.
9/18/13,65,PM2.5,Watson Lane,21-111-0051,AQS,6,39,7,29,65,.
9/19/13,72,PM2.5,Southwick,21-111-0043,AQS,5,40,36,31,72,.
9/20/13,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,37,10,20,58,.
9/21/13,34,PM2.5,Watson Lane,21-111-0051,AQS,6,31,3,7,34,.
9/22/13,35,PM2.5,Watson Lane,21-111-0051,AQS,5,29,4,8,35,.
9/23/13,38,Ozone,Bates,21-111-0027,AQS,3,38,4,12,31,.
9/24/13,48,PM2.5,Southwick,21-111-0043,AQS,5,44,3,21,48,.
9/25/13,54,PM2.5,Watson Lane,21-111-0051,AQS,6,40,7,20,54,.
9/26/13,64,Ozone,Bates,21-111-0027,AQS,6,64,10,25,63,.
9/27/13,68,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,61,9,26,68,.
9/28/13,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,47,13,21,58,.
9/29/13,53,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,28,10,15,53,.
9/30/13,52,PM2.5,Watson Lane,21-111-0051,AQS,7,38,41,16,52,.
10/1/13,64,PM2.5,Watson Lane,21-111-0051,AQS,9,36,43,31,64,.
10/2/13,62,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,27,21,21,62,.
10/3/13,48,PM2.5,Watson Lane,21-111-0051,AQS,8,34,33,15,48,.
10/4/13,52,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,37,24,19,52,.
10/5/13,40,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,20,7,11,40,.
10/6/13,22,Ozone,BUCKNER,21-185-0004,AQS,5,22,19,5,20,.
10/7/13,28,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,5,22,7,10,28,.
10/8/13,52,PM2.5,Watson Lane,21-111-0051,AQS,5,30,7,12,52,.
10/9/13,55,PM2.5,Watson Lane,21-111-0051,AQS,7,36,17,22,55,.
10/10/13,58,PM2.5,CANNONS LANE,21-111-0067,AQS,7,45,6,24,58,40
10/11/13,62,PM2.5,Southwick,21-111-0043,AQS,11,58,37,28,62,48
10/12/13,72,PM2.5,CANNONS LANE,21-111-0067,AQS,15,48,14,25,72,29
10/13/13,62,PM2.5,Watson Lane,21-111-0051,AQS,14,36,4,22,62,19
10/14/13,47,PM2.5,Watson Lane,21-111-0051,AQS,6,38,10,20,47,35
10/15/13,43,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,22,13,19,43,24
10/16/13,34,PM2.5,Watson Lane,21-111-0051,AQS,7,19,7,10,34,20
10/17/13,40,PM2.5,CANNONS LANE,21-111-0067,AQS,7,25,6,11,40,22
10/18/13,48,PM2.5,CANNONS LANE,21-111-0067,AQS,7,34,17,16,48,31
10/19/13,48,PM2.5,Southwick,21-111-0043,AQS,8,22,3,12,48,24
10/20/13,54,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,31,7,9,54,27
10/21/13,34,PM2.5,Watson Lane,21-111-0051,AQS,6,32,13,18,34,20
10/22/13,35,PM2.5,Southwick,21-111-0043,AQS,6,32,21,14,35,24
10/23/13,35,PM2.5,Southwick,21-111-0043,AQS,5,20,4,9,35,15
10/24/13,43,PM2.5,Southwick,21-111-0043,AQS,6,21,10,11,43,17
10/25/13,44,PM2.5,CANNONS LANE,21-111-0067,AQS,10,29,11,11,44,31
10/26/13,50,PM2.5,Southwick,21-111-0043,AQS,10,31,29,16,50,26
10/27/13,59,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,30,13,21,59,32
10/28/13,61,PM2.5,CANNONS LANE,21-111-0067,AQS,10,32,26,31,61,40
10/29/13,67,PM2.5,Southwick,21-111-0043,AQS,10,14,10,25,67,24
10/30/13,58,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,8,31,43,18,58,25
10/31/13,46,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,31,24,13,46,12
11/1/13,55,SO2,Watson Lane,21-111-0051,AQS,6,31,55,9,25,17
11/2/13,48,PM2.5,Southwick,21-111-0043,AQS,6,26,20,13,48,22
11/3/13,49,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,23,9,10,49,22
11/4/13,48,PM2.5,Southwick,21-111-0043,AQS,9,22,46,16,48,37
11/5/13,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,25,29,21,52,35
11/6/13,38,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,23,33,17,38,22
11/7/13,30,NO2,CANNONS LANE,21-111-0067,AQS,8,28,24,7,27,30
11/8/13,84,SO2,Watson Lane,21-111-0051,AQS,10,26,84,14,39,38
11/9/13,92,SO2,Watson Lane,21-111-0051,AQS,10,33,92,16,44,30
11/10/13,41,PM2.5,CANNONS LANE,21-111-0067,AQS,9,31,10,12,41,31
11/11/13,43,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,10,26,31,18,43,33
11/12/13,26,Ozone,CANNONS LANE,21-111-0067,AQS,7,26,10,5,18,16
11/13/13,50,SO2,Watson Lane,21-111-0051,AQS,10,18,50,9,41,31
11/14/13,50,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,26,33,13,50,37
11/15/13,57,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,20,24,21,57,34
11/16/13,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,23,7,13,55,10
11/17/13,29,SO2,Watson Lane,21-111-0051,AQS,5,29,29,8,27,8
11/18/13,30,NO2,CANNONS LANE,21-111-0067,AQS,6,27,7,7,20,30
11/19/13,45,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,19,7,11,45,25
11/20/13,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,19,6,17,56,35
11/21/13,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,11,20,21,31,58,33
11/22/13,49,PM2.5,Southwick,21-111-0043,AQS,11,20,7,11,49,20
11/23/13,34,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,26,19,7,34,6
11/24/13,39,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,26,13,6,39,28
11/25/13,41,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,20,26,10,41,25
11/26/13,56,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,18,6,10,56,19
11/27/13,37,PM2.5,Southwick,21-111-0043,AQS,5,18,4,10,37,22
11/28/13,49,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,19,46,13,49,28
11/29/13,73,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,16,16,30,20,73,31
11/30/13,71,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,28,13,22,71,30
12/1/13,63,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,23,44,17,63,31
12/2/13,78,PM2.5,Southwick,21-111-0043,AQS,10,18,31,31,78,31
12/3/13,75,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,19,10,27,75,28
12/4/13,68,PM2.5,Southwick,21-111-0043,AQS,6,20,16,26,68,14
12/5/13,56,PM2.5,CANNONS LANE,21-111-0067,AQS,6,16,6,12,56,10
12/6/13,52,PM2.5,Southwick,21-111-0043,AQS,6,14,16,11,52,11
12/7/13,69,PM2.5,Watson Lane,21-111-0051,AQS,5,23,16,11,69,19
12/8/13,60,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,24,4,9,60,22
12/9/13,49,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,19,13,9,49,22
12/10/13,60,PM2.5,Watson Lane,21-111-0051,AQS,10,22,47,14,60,36
12/11/13,60,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,11,26,43,18,60,32
12/12/13,57,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,19,49,15,57,33
12/13/13,53,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,16,39,17,53,31
12/14/13,44,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,21,6,8,44,25
12/15/13,59,PM2.5,Southwick,21-111-0043,AQS,6,21,40,14,59,11
12/16/13,76,SO2,Watson Lane,21-111-0051,AQS,14,14,76,19,63,31
12/17/13,73,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,15,15,17,19,73,25
12/18/13,50,PM2.5,CANNONS LANE,21-111-0067,AQS,8,21,30,19,50,30
12/19/13,51,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,36,37,18,51,28
12/20/13,50,PM2.5,Watson Lane,21-111-0051,AQS,7,29,23,17,50,14
12/21/13,33,PM2.5,Southwick,21-111-0043,AQS,8,29,14,10,33,18
12/22/13,25,Ozone,CANNONS LANE,21-111-0067,AQS,6,25,24,6,19,11
12/23/13,38,PM2.5,Southwick,21-111-0043,AQS,7,26,4,7,38,7
12/24/13,41,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,27,7,7,41,22
12/25/13,45,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,26,14,6,45,28
12/26/13,52,PM2.5,Southwick,21-111-0043,AQS,11,25,14,13,52,35
12/27/13,58,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,16,22,27,17,58,39
12/28/13,53,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,17,19,13,14,53,33
12/29/13,52,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,21,11,9,52,16
12/30/13,44,PM2.5,Watson Lane,21-111-0051,AQS,9,19,4,8,44,23
12/31/13,55,PM2.5,Southwick,21-111-0043,AQS,9,19,29,14,55,27
,,,,,,,,,,,
1/1/14,53,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,22,11,13,53,31
1/2/14,53,PM2.5,Southwick,21-111-0043,AQS,9,27,17,10,53,27
1/3/14,37,PM2.5,Southwick,21-111-0043,AQS,6,27,17,8,37,20
1/4/14,41,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,28,24,10,41,33
1/5/14,44,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,30,9,9,44,25
1/6/14,31,Ozone,CANNONS LANE,21-111-0067,AQS,6,31,9,9,25,7
1/7/14,40,SO2,Watson Lane,21-111-0051,AQS,6,23,40,10,39,22
1/8/14,55,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,17,29,17,55,32
1/9/14,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,17,11,15,56,32
1/10/14,53,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,19,10,11,53,24
1/11/14,31,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,22,24,9,31,21
1/12/14,41,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,27,34,7,41,13
1/13/14,44,SO2,Fire Arms Training,21-111-1041,AQS,9,25,44,8,25,19
1/14/14,37,PM2.5,Southwick,21-111-0043,AQS,11,23,29,8,37,24
1/15/14,33,PM2.5,Southwick,21-111-0043,AQS,8,25,14,9,33,13
1/16/14,41,PM2.5,Southwick,21-111-0043,AQS,8,18,13,10,41,24
1/17/14,34,PM2.5,CANNONS LANE,21-111-0067,AQS,9,23,9,12,34,22
1/18/14,41,SO2,Watson Lane,21-111-0051,AQS,10,25,41,11,37,25
1/19/14,45,PM2.5,Watson Lane,21-111-0051,AQS,10,20,16,11,45,23
1/20/14,40,PM2.5,CANNONS LANE,21-111-0067,AQS,10,24,11,15,40,32
1/21/14,40,PM2.5,Southwick,21-111-0043,AQS,10,33,17,8,40,26
1/22/14,51,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,10,26,41,14,51,41
1/23/14,36,PM2.5,Southwick,21-111-0043,AQS,6,30,3,14,36,12
1/24/14,44,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,26,19,11,44,36
1/25/14,60,SO2,Watson Lane,21-111-0051,AQS,5,33,60,13,29,9
1/26/14,50,SO2,Watson Lane,21-111-0051,AQS,17,30,50,13,31,38
1/27/14,31,Ozone,CANNONS LANE,21-111-0067,AQS,17,31,11,14,20,8
1/28/14,35,PM2.5,Watson Lane,21-111-0051,AQS,6,26,14,11,35,35
1/29/14,70,SO2,Watson Lane,21-111-0051,AQS,9,25,70,22,57,39
1/30/14,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,24,23,14,52,31
1/31/14,60,SO2,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,9,23,60,17,54,35
2/1/14,56,PM2.5,Southwick,21-111-0043,AQS,9,35,26,19,56,31
2/2/14,52,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,8,27,10,8,52,8
2/3/14,79,PM2.5,Watson Lane,21-111-0051,AQS,8,31,13,14,79,44
2/4/14,80,PM2.5,Watson Lane,21-111-0051,AQS,9,24,17,18,80,43
2/5/14,57,PM2.5,Southwick,21-111-0043,AQS,5,31,29,11,57,.
2/6/14,55,PM2.5,Southwick,21-111-0043,AQS,5,30,17,8,55,15
2/7/14,60,PM2.5,Watson Lane,21-111-0051,AQS,7,23,47,12,60,25
2/8/14,66,PM2.5,Southwick,21-111-0043,AQS,7,.,7,12,66,26
2/9/14,71,PM2.5,Southwick,21-111-0043,AQS,7,.,7,14,71,26
2/10/14,79,PM2.5,Southwick,21-111-0043,AQS,5,.,49,25,79,16
2/11/14,81,PM2.5,Watson Lane,21-111-0051,AQS,7,28,51,18,81,36
2/12/14,85,PM2.5,Watson Lane,21-111-0051,AQS,7,31,21,23,85,43
2/13/14,92,SO2,Watson Lane,21-111-0051,AQS,7,26,92,28,85,45
2/14/14,74,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,27,37,19,74,40
2/15/14,71,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,31,21,16,71,14
2/16/14,78,PM2.5,CANNONS LANE,21-111-0067,AQS,6,32,29,24,78,19
2/17/14,69,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,30,6,14,69,24
2/18/14,59,SO2,Fire Arms Training,21-111-1041,AQS,7,31,59,10,38,36
2/19/14,41,PM2.5,Watson Lane,21-111-0051,AQS,5,34,11,15,41,24
2/20/14,39,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,27,30,18,39,23
2/21/14,85,SO2,Watson Lane,21-111-0051,AQS,6,36,85,9,26,40
2/22/14,102,SO2,Watson Lane,21-111-0051,AQS,7,38,102,22,43,39
2/23/14,31,PM2.5,Watson Lane,21-111-0051,AQS,6,30,9,6,31,20
2/24/14,34,Ozone,CANNONS LANE,21-111-0067,AQS,3,34,10,6,22,19
2/25/14,30,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,2,30,16,8,30,14
2/26/14,37,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,3,31,31,11,37,22
2/27/14,96,SO2,Watson Lane,21-111-0051,AQS,5,36,96,17,52,17
2/28/14,48,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,7,31,4,17,48,39
3/1/14,61,PM2.5,Southwick,21-111-0043,AQS,7,42,56,26,61,37
3/2/14,67,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,40,21,11,67,10
3/3/14,52,PM2.5,Southwick,21-111-0043,AQS,3,39,9,8,52,20
3/4/14,67,PM2.5,Southwick,21-111-0043,AQS,7,37,43,20,67,.
3/5/14,76,PM2.5,Southwick,21-111-0043,AQS,9,34,44,25,76,.
3/6/14,68,PM2.5,Watson Lane,21-111-0051,AQS,7,31,31,21,68,.
3/7/14,84,SO2,Watson Lane,21-111-0051,AQS,8,30,84,35,73,.
3/8/14,92,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,13,45,82,31,92,.
3/9/14,66,PM2.5,Watson Lane,21-111-0051,AQS,5,40,51,13,66,.
3/10/14,71,SO2,Watson Lane,21-111-0051,AQS,6,44,71,21,68,.
3/11/14,109,SO2,Watson Lane,21-111-0051,AQS,7,51,109,25,61,.
3/12/14,38,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,6,38,7,11,38,.
3/13/14,43,SO2,Watson Lane,21-111-0051,AQS,6,39,43,8,34,.
3/14/14,102,SO2,Watson Lane,21-111-0051,AQS,5,46,102,31,57,.
3/15/14,96,SO2,Watson Lane,21-111-0051,AQS,6,44,96,19,56,.
3/16/14,33,Ozone,Watson Lane,21-111-0051,AQS,6,33,10,8,31,.
3/17/14,57,PM2.5,Watson Lane,21-111-0051,AQS,6,26,21,14,57,.
3/18/14,53,PM2.5,Watson Lane,21-111-0051,AQS,7,28,9,18,53,.
3/19/14,54,PM2.5,Watson Lane,21-111-0051,AQS,5,31,21,15,54,.
3/20/14,55,PM2.5,CANNONS LANE,21-111-0067,AQS,6,39,34,15,55,.
3/21/14,56,PM2.5,CANNONS LANE,21-111-0067,AQS,7,50,21,23,56,.
3/22/14,42,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,41,7,12,42,.
3/23/14,53,PM2.5,Watson Lane,21-111-0051,AQS,3,39,29,9,53,.
3/24/14,47,PM2.5,Watson Lane,21-111-0051,AQS,5,35,26,19,47,.
3/25/14,47,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,3,40,4,11,47,.
3/26/14,92,SO2,Watson Lane,21-111-0051,AQS,6,38,92,16,52,.
3/27/14,56,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,50,19,24,56,.
3/28/14,44,PM2.5,Southwick,21-111-0043,AQS,6,42,19,15,44,.
3/29/14,37,PM2.5,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,3,32,10,7,37,.
3/30/14,44,Ozone,Watson Lane,21-111-0051,AQS,6,44,17,12,43,.
3/31/14,49,Ozone,Watson Lane,21-111-0051,AQS,8,49,11,16,45,.
4/1/14,59,SO2,Watson Lane,21-111-0051,AQS,6,47,59,35,37,.
4/2/14,36,Ozone,Watson Lane,21-111-0051,AQS,5,36,10,14,32,.
4/3/14,33,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,7,32,19,11,33,.
4/4/14,43,SO2,Watson Lane,21-111-0051,AQS,5,42,43,6,24,.
4/5/14,45,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,5,45,11,7,33,.
4/6/14,47,Ozone,Watson Lane,21-111-0051,AQS,5,47,13,10,43,.
4/7/14,37,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,6,37,13,9,36,.
4/8/14,58,PM2.5,Watson Lane,21-111-0051,AQS,6,41,41,14,58,.
4/9/14,48,Ozone,New Albany- Green Valley Elem. Sch.,18-043-1004,AQS,5,48,40,14,47,.
4/10/14,61,Ozone,SHEPHERDSVILLE,21-029-0006,AQS,6,61,30,25,35,.
4/11/14,65,SO2,Watson Lane,21-111-0051,AQS,6,61,65,26,65,.
4/12/14,64,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,9,51,44,30,64,.
4/13/14,49,PM2.5,Jefferson- Walnut St/ Jefferson PFAU,18-019-0006,AQS,5,45,19,23,49,.
4/14/14,60,SO2,Watson Lane,21-111-0051,AQS,5,40,60,11,32,.
4/15/14,43,Ozone,Watson Lane,21-111-0051,AQS,3,43,7,6,20,.
4/16/14,46,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,6,46,6,10,43,.
4/17/14,58,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,8,58,51,21,52,.
4/18/14,87,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,10,87,24,28,63,.
4/19/14,80,Ozone,Watson Lane,21-111-0051,AQS,7,80,9,20,59,.
4/20/14,97,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,6,97,62,29,75,.
4/21/14,107,SO2,PSI/Duke Energy- Gallagher Network/ Bald Knob,18-043-0004,AQS,9,80,107,32,72,.
4/22/14,54,PM2.5,CANNONS LANE,21-111-0067,AQS,5,50,13,19,54,.
4/23/14,47,Ozone,Watson Lane,21-111-0051,AQS,5,47,43,13,25,.
4/24/14,64,Ozone,Watson Lane,21-111-0051,AQS,6,64,7,17,32,.
4/25/14,45,Ozone,Watson Lane,21-111-0051,AQS,5,45,9,15,36,.
4/26/14,52,PM2.5,Watson Lane,21-111-0051,AQS,7,49,40,21,52,.
4/27/14,55,PM2.5,Watson Lane,21-111-0051,AQS,10,50,9,19,55,.
4/28/14,36,Ozone,Bates,21-111-0027,AQS,6,36,14,9,28,.
4/29/14,45,Ozone,Charlestown State Park- 1051.8 meters East of SR 62/ Indiana armory,18-019-0008,AQS,5,45,39,19,34,.
